trial,state,val_pr_auc,val_roc_auc,best_iteration,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma,reg_alpha,reg_lambda,max_delta_step,score
26,COMPLETE,0.8053588679736312,0.9291763361276901,138,9,0.037691859403054286,7,0.9368246712107108,0.7324519811583278,0.8241181826980698,0.6339365316057812,0.0012082868058436137,0.352203523124172,0,0.8053588679736312
10,COMPLETE,0.8049500609085698,0.9285803626165328,149,6,0.042478130419916826,6,0.9346953636002768,0.9647317568112175,0.8013361288506806,0.0022040468459331034,0.0007736578748706373,9.887100085164564,3,0.8049500609085698
15,COMPLETE,0.8043878615946862,0.928203538854959,164,8,0.031162555725340296,1,0.9712579563007931,0.8887049534274555,0.9337615539084486,0.0082602929722918,0.001093241850399946,1.8018461479084993,0,0.8043878615946862
23,COMPLETE,0.8042013461118547,0.9276377544469174,49,8,0.08498438622598953,6,0.9427989174124088,0.6001904787533127,0.8441544852002931,0.06410926063519222,0.0005046788370550375,0.6003383774142249,0,0.8042013461118547
2,COMPLETE,0.8037525554328847,0.929065454002167,186,7,0.02649083634077794,3,0.7782266451527922,0.7552314928976662,0.9033291826268561,0.0008674832802525467,0.026083880465609915,3.0452001137785722,0,0.8037525554328847
8,COMPLETE,0.8036181246833646,0.926954936145206,194,6,0.03752381369375166,1,0.9902079128325347,0.904428484872981,0.8483279224849574,0.00010621128555994273,0.06901042432346782,2.0636622225112085,5,0.8036181246833646
25,COMPLETE,0.8035879973016785,0.9280467246923808,88,7,0.07806724118915885,4,0.859880653538676,0.8983781429997527,0.7623697177549894,0.0644545111667948,0.002019288675461637,0.32245537432824206,1,0.8035879973016785
22,PRUNED,0.8029426604447121,,-1,8,0.022617350263053993,6,0.9959820126313055,0.5781462399191141,0.8910647428974284,0.20067707983956115,0.005409187195511601,0.7124808996909188,2,0.8029426604447121
9,COMPLETE,0.8028235476854866,0.9259549277843938,61,9,0.08698890601821334,1,0.9917386534603385,0.8699082895804451,0.9484508958199463,0.005303513386726959,0.00019430061393172586,4.252826884464583,4,0.8028235476854866
14,PRUNED,0.8027492987470979,,-1,5,0.04495266193737715,4,0.9677121639574667,0.9752350063339044,0.918095961287704,0.053818886104930956,0.01605815210471837,1.1825416593833054,3,0.8027492987470979
0,COMPLETE,0.8023382914674283,0.9268366229633872,112,5,0.1358198535217987,8,0.8595304694689628,0.6202083881990965,0.6201975341512912,0.00018747059221802545,1.1752647960576212,3.150631631023284,4,0.8023382914674283
5,COMPLETE,0.8019500076162838,0.9261877232742306,53,9,0.09534956221285781,10,0.9631895726496771,0.8190549904649883,0.9648434057604026,0.0002605095284382555,0.0008335230071817136,0.35806433227444134,2,0.8019500076162838
28,PRUNED,0.8012981096606283,,-1,6,0.029082735599993078,9,0.8329692585922175,0.6421541438562052,0.9941262777449997,0.028465349758518096,0.00027423281560276015,0.46757453572519386,1,0.8012981096606283
31,PRUNED,0.8006940387135022,,-1,8,0.03665819142861027,10,0.9663881908612724,0.709318743633756,0.9647593736928359,4.641175359934281,0.0012176699701308984,2.3099519857917805,1,0.8006940387135022
16,PRUNED,0.7999094057600972,,-1,6,0.022561014962004956,1,0.8208248297828629,0.7740533080174914,0.8157084449448905,0.29685555454821133,0.0006027859915815019,0.4415766252133039,0,0.7999094057600972
6,PRUNED,0.79911844136937,,-1,5,0.03455230480658175,9,0.7748636643427562,0.6764205293593214,0.7942132374212119,0.00045940816125026896,0.5881655048861893,0.4015878475363172,6,0.79911844136937
30,PRUNED,0.7978916909005527,,-1,5,0.0357030210073846,9,0.9424606519231045,0.5905428962091646,0.9690489797884815,0.14388416902810616,0.0070575116010287734,5.176761619812451,2,0.7978916909005527
1,COMPLETE,0.796994771651969,0.9264744830529414,125,3,0.1411758906434134,9,0.7243186887373967,0.6318212352431953,0.6325320294340453,0.002689212824736888,0.02922905212920092,1.625484695859972,2,0.796994771651969
4,COMPLETE,0.792904636722976,0.9231594140396101,318,3,0.05424255377737472,1,0.9682621407275738,0.6664509917200077,0.8481350279592919,0.0029155533757373392,0.02778331300797555,2.5466286484226126,1,0.792904636722976
19,PRUNED,0.7904263085615798,,-1,4,0.03472683749178539,1,0.9250491859317101,0.8841819917957713,0.9865468894804988,0.00017782459452240736,0.0034072260443375017,7.769374398304659,2,0.7904263085615798
