trial,state,val_pr_auc,val_roc_auc,best_iteration,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma,reg_alpha,reg_lambda,max_delta_step,score
17,COMPLETE,0.8543810205022908,0.9445727053149824,219,9,0.022890694878515756,10,0.7480841752248013,0.7168317054600158,0.6416146085910915,0.15730521711447565,0.010635217115465926,2.9485307447839397,3,0.8543810205022908
21,COMPLETE,0.8543430971392525,0.9442916114545474,305,7,0.028684985906333713,7,0.6658441742740544,0.7054925114162272,0.8195270609880265,0.9765885472995095,0.0007176619411051266,14.983347519925918,3,0.8543430971392525
27,COMPLETE,0.8538977808267811,0.9439541275512081,117,8,0.0574973172822593,4,0.7650777333801798,0.564691870848371,0.7648993080393321,0.15141489588382642,0.0008028461704563926,3.2381737572907148,4,0.8538977808267811
0,COMPLETE,0.8537355463455881,0.9434249636402541,95,5,0.1358198535217987,8,0.8595304694689628,0.6202083881990965,0.6201975341512912,0.00018747059221802545,1.1752647960576212,3.150631631023284,4,0.8537355463455881
16,COMPLETE,0.8536865364041636,0.9441894047202404,218,9,0.025926925479804352,2,0.7404351417452768,0.8840769658359512,0.6842128493788218,0.044927252029196896,0.006931922074478995,2.8320480293434325,0,0.8536865364041636
35,COMPLETE,0.8534950146667102,0.9439567455479934,64,8,0.10711371909269625,4,0.7724118028052993,0.5815891530257771,0.7221752343064133,1.0546740398406012,0.0004257965857612671,3.2875994445519985,0,0.8534950146667102
36,PRUNED,0.853186721800872,,-1,9,0.03855616488591836,8,0.7243211691608631,0.7639807908849879,0.7831348301086845,0.006405430374114458,0.00012485689242657883,5.569896415618202,3,0.853186721800872
8,COMPLETE,0.8529667674739118,0.9436433933533388,293,8,0.024090332919808045,7,0.8081041936743755,0.7147028357469364,0.8377773450442589,0.008071811605506827,0.091493323398236,2.722497650465713,1,0.8529667674739118
34,PRUNED,0.8523623176672971,,-1,9,0.027282391900814926,3,0.7090393658942592,0.7736332183511817,0.7782090237136967,0.3644342786335213,0.0023647206217978813,5.82091488584133,3,0.8523623176672971
30,COMPLETE,0.8523203552320164,0.9437800779518504,70,9,0.0627834991827846,5,0.8416040126691144,0.7397194247043556,0.7932817416936147,0.14887264139885448,0.0017337215787635303,1.3006615539022568,2,0.8523203552320164
12,PRUNED,0.8523069488553512,,-1,7,0.026680140631663588,5,0.752231368888343,0.8572673145649947,0.9623064351790931,0.06511037186235417,0.00019381408132592166,2.1132190944402436,3,0.8523069488553512
14,PRUNED,0.8521663147173586,,-1,8,0.02275245882911507,3,0.6933064915709021,0.9013256797476845,0.6557331487207858,0.6263890967186652,0.003974073818961014,0.3714913504683003,3,0.8521663147173586
5,COMPLETE,0.8520750151180461,0.9430619638803966,56,9,0.09534956221285781,10,0.9631895726496771,0.8190549904649883,0.9648434057604026,0.0002605095284382555,0.0008335230071817136,0.35806433227444134,2,0.8520750151180461
18,PRUNED,0.851974492299385,,-1,7,0.0332349189148052,1,0.6925030630507193,0.9068677886664348,0.9375820992156647,0.4692684247182754,0.11927611347391114,1.9104421558792664,0,0.851974492299385
